block,tier,kind,filename,path
BROWSER,3,production-code,browser_provider.py,agent/browser_provider.py
BROWSER,3,production-code,browser_registry.py,agent/browser_registry.py
BROWSER,3,production-code,web_search_provider.py,agent/web_search_provider.py
BROWSER,3,production-code,web_search_registry.py,agent/web_search_registry.py
BROWSER,3,production-code,browser_connect.py,hermes_cli/browser_connect.py
BROWSER,3,production-code,__init__.py,plugins/browser/browser_use/__init__.py
BROWSER,3,config,plugin.yaml,plugins/browser/browser_use/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/browser/browser_use/provider.py
BROWSER,3,production-code,__init__.py,plugins/browser/browserbase/__init__.py
BROWSER,3,config,plugin.yaml,plugins/browser/browserbase/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/browser/browserbase/provider.py
BROWSER,3,production-code,__init__.py,plugins/browser/firecrawl/__init__.py
BROWSER,3,config,plugin.yaml,plugins/browser/firecrawl/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/browser/firecrawl/provider.py
BROWSER,3,production-code,__init__.py,plugins/web/__init__.py
BROWSER,3,production-code,__init__.py,plugins/web/brave_free/__init__.py
BROWSER,3,config,plugin.yaml,plugins/web/brave_free/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/brave_free/provider.py
BROWSER,3,production-code,__init__.py,plugins/web/ddgs/__init__.py
BROWSER,3,production-code,_search_worker.py,plugins/web/ddgs/_search_worker.py
BROWSER,3,config,plugin.yaml,plugins/web/ddgs/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/ddgs/provider.py
BROWSER,3,production-code,__init__.py,plugins/web/exa/__init__.py
BROWSER,3,config,plugin.yaml,plugins/web/exa/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/exa/provider.py
BROWSER,3,production-code,__init__.py,plugins/web/firecrawl/__init__.py
BROWSER,3,config,plugin.yaml,plugins/web/firecrawl/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/firecrawl/provider.py
BROWSER,3,production-code,__init__.py,plugins/web/keenable/__init__.py
BROWSER,3,config,plugin.yaml,plugins/web/keenable/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/keenable/provider.py
BROWSER,3,production-code,keyless_mcp.py,plugins/web/keyless_mcp.py
BROWSER,3,production-code,__init__.py,plugins/web/parallel/__init__.py
BROWSER,3,config,plugin.yaml,plugins/web/parallel/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/parallel/provider.py
BROWSER,3,production-code,__init__.py,plugins/web/searxng/__init__.py
BROWSER,3,config,plugin.yaml,plugins/web/searxng/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/searxng/provider.py
BROWSER,3,production-code,__init__.py,plugins/web/tavily/__init__.py
BROWSER,3,config,plugin.yaml,plugins/web/tavily/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/tavily/provider.py
BROWSER,3,production-code,__init__.py,plugins/web/xai/__init__.py
BROWSER,3,config,plugin.yaml,plugins/web/xai/plugin.yaml
BROWSER,3,production-code,provider.py,plugins/web/xai/provider.py
BROWSER,3,production-code,browser_camofox.py,tools/browser_camofox.py
BROWSER,3,production-code,browser_camofox_state.py,tools/browser_camofox_state.py
BROWSER,3,production-code,browser_cdp_tool.py,tools/browser_cdp_tool.py
BROWSER,3,production-code,browser_dialog_tool.py,tools/browser_dialog_tool.py
BROWSER,3,production-code,browser_extension_router.py,tools/browser_extension_router.py
BROWSER,3,production-code,browser_lightpanda.py,tools/browser_lightpanda.py
BROWSER,3,production-code,browser_supervisor.py,tools/browser_supervisor.py
BROWSER,3,production-code,browser_tool.py,tools/browser_tool.py
BROWSER,3,production-code,browser_use_cli.py,tools/browser_use_cli.py
BROWSER,3,production-code,__init__.py,tools/computer_use/__init__.py
BROWSER,3,production-code,backend.py,tools/computer_use/backend.py
BROWSER,3,production-code,cua_backend.py,tools/computer_use/cua_backend.py
BROWSER,3,production-code,permissions.py,tools/computer_use/permissions.py
BROWSER,3,production-code,schema.py,tools/computer_use/schema.py
BROWSER,3,production-code,tool.py,tools/computer_use/tool.py
BROWSER,3,production-code,vision_routing.py,tools/computer_use/vision_routing.py
BROWSER,3,production-code,computer_use_tool.py,tools/computer_use_tool.py
BROWSER,3,production-code,url_safety.py,tools/url_safety.py
BROWSER,3,production-code,web_result_cache.py,tools/web_result_cache.py
BROWSER,3,production-code,web_tools.py,tools/web_tools.py
BROWSER,3,production-code,website_policy.py,tools/website_policy.py
BROWSER,3,production-code,x_search_tool.py,tools/x_search_tool.py
CHANNELS,2,asset,telegram-botfather-threads-settings.jpg,gateway/assets/telegram-botfather-threads-settings.jpg
CHANNELS,2,production-code,channel_directory.py,gateway/channel_directory.py
CHANNELS,2,production-code,platform_registry.py,gateway/platform_registry.py
CHANNELS,2,prose,ADDING_A_PLATFORM.md,gateway/platforms/ADDING_A_PLATFORM.md
CHANNELS,2,production-code,__init__.py,gateway/platforms/__init__.py
CHANNELS,2,production-code,_http_client_limits.py,gateway/platforms/_http_client_limits.py
CHANNELS,2,production-code,api_server.py,gateway/platforms/api_server.py
CHANNELS,2,production-code,api_server_room_dispatch.py,gateway/platforms/api_server_room_dispatch.py
CHANNELS,2,production-code,api_server_room_grants.py,gateway/platforms/api_server_room_grants.py
CHANNELS,2,production-code,api_server_run_idempotency.py,gateway/platforms/api_server_run_idempotency.py
CHANNELS,2,production-code,api_server_runs.py,gateway/platforms/api_server_runs.py
CHANNELS,2,production-code,base.py,gateway/platforms/base.py
CHANNELS,2,production-code,bluebubbles.py,gateway/platforms/bluebubbles.py
CHANNELS,2,production-code,helpers.py,gateway/platforms/helpers.py
CHANNELS,2,production-code,media_cache.py,gateway/platforms/media_cache.py
CHANNELS,2,production-code,msgraph_webhook.py,gateway/platforms/msgraph_webhook.py
CHANNELS,2,production-code,__init__.py,gateway/platforms/qqbot/__init__.py
CHANNELS,2,production-code,adapter.py,gateway/platforms/qqbot/adapter.py
CHANNELS,2,production-code,chunked_upload.py,gateway/platforms/qqbot/chunked_upload.py
CHANNELS,2,production-code,constants.py,gateway/platforms/qqbot/constants.py
CHANNELS,2,production-code,crypto.py,gateway/platforms/qqbot/crypto.py
CHANNELS,2,production-code,keyboards.py,gateway/platforms/qqbot/keyboards.py
CHANNELS,2,production-code,onboard.py,gateway/platforms/qqbot/onboard.py
CHANNELS,2,production-code,utils.py,gateway/platforms/qqbot/utils.py
CHANNELS,2,production-code,signal.py,gateway/platforms/signal.py
CHANNELS,2,production-code,signal_format.py,gateway/platforms/signal_format.py
CHANNELS,2,production-code,signal_rate_limit.py,gateway/platforms/signal_rate_limit.py
CHANNELS,2,production-code,webhook.py,gateway/platforms/webhook.py
CHANNELS,2,production-code,webhook_filters.py,gateway/platforms/webhook_filters.py
CHANNELS,2,production-code,weixin.py,gateway/platforms/weixin.py
CHANNELS,2,production-code,whatsapp_cloud.py,gateway/platforms/whatsapp_cloud.py
CHANNELS,2,production-code,whatsapp_common.py,gateway/platforms/whatsapp_common.py
CHANNELS,2,production-code,yuanbao.py,gateway/platforms/yuanbao.py
CHANNELS,2,production-code,yuanbao_media.py,gateway/platforms/yuanbao_media.py
CHANNELS,2,production-code,yuanbao_proto.py,gateway/platforms/yuanbao_proto.py
CHANNELS,2,production-code,yuanbao_sticker.py,gateway/platforms/yuanbao_sticker.py
CHANNELS,2,production-code,adapter.py,gateway/relay/adapter.py
CHANNELS,2,production-code,descriptor.py,gateway/relay/descriptor.py
CHANNELS,2,production-code,sticker_cache.py,gateway/sticker_cache.py
CHANNELS,2,production-code,whatsapp_identity.py,gateway/whatsapp_identity.py
CHANNELS,2,production-code,dingtalk_auth.py,hermes_cli/dingtalk_auth.py
CHANNELS,2,production-code,slack_cli.py,hermes_cli/slack_cli.py
CHANNELS,2,production-code,slack.py,hermes_cli/subcommands/slack.py
CHANNELS,2,production-code,webhook.py,hermes_cli/subcommands/webhook.py
CHANNELS,2,production-code,whatsapp.py,hermes_cli/subcommands/whatsapp.py
CHANNELS,2,production-code,telegram_managed_bot.py,hermes_cli/telegram_managed_bot.py
CHANNELS,2,production-code,webhook.py,hermes_cli/webhook.py
CHANNELS,2,config,af.yaml,locales/af.yaml
CHANNELS,2,config,ar.yaml,locales/ar.yaml
CHANNELS,2,config,de.yaml,locales/de.yaml
CHANNELS,2,config,en.yaml,locales/en.yaml
CHANNELS,2,config,es.yaml,locales/es.yaml
CHANNELS,2,config,fr.yaml,locales/fr.yaml
CHANNELS,2,config,ga.yaml,locales/ga.yaml
CHANNELS,2,config,hu.yaml,locales/hu.yaml
CHANNELS,2,config,it.yaml,locales/it.yaml
CHANNELS,2,config,ja.yaml,locales/ja.yaml
CHANNELS,2,config,ko.yaml,locales/ko.yaml
CHANNELS,2,config,pt.yaml,locales/pt.yaml
CHANNELS,2,config,ru.yaml,locales/ru.yaml
CHANNELS,2,config,tr.yaml,locales/tr.yaml
CHANNELS,2,config,uk.yaml,locales/uk.yaml
CHANNELS,2,config,zh-hant.yaml,locales/zh-hant.yaml
CHANNELS,2,config,zh.yaml,locales/zh.yaml
CHANNELS,2,production-code,verify.py,plugins/cron_providers/chronos/verify.py
CHANNELS,2,prose,DESIGN.md,plugins/platforms/a2a/DESIGN.md
CHANNELS,2,prose,README.md,plugins/platforms/a2a/README.md
CHANNELS,2,production-code,__init__.py,plugins/platforms/a2a/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/a2a/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/a2a/plugin.yaml
CHANNELS,2,production-code,protocol.py,plugins/platforms/a2a/protocol.py
CHANNELS,2,production-code,security.py,plugins/platforms/a2a/security.py
CHANNELS,2,production-code,tools.py,plugins/platforms/a2a/tools.py
CHANNELS,2,production-code,__init__.py,plugins/platforms/buzz/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/buzz/adapter.py
CHANNELS,2,production-code,nostr_auth.py,plugins/platforms/buzz/nostr_auth.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/buzz/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/dingtalk/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/dingtalk/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/dingtalk/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/discord/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/discord/adapter.py
CHANNELS,2,production-code,ffmpeg_utils.py,plugins/platforms/discord/ffmpeg_utils.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/discord/plugin.yaml
CHANNELS,2,production-code,recovery.py,plugins/platforms/discord/recovery.py
CHANNELS,2,production-code,voice_mixer.py,plugins/platforms/discord/voice_mixer.py
CHANNELS,2,production-code,__init__.py,plugins/platforms/email/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/email/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/email/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/feishu/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/feishu/adapter.py
CHANNELS,2,production-code,feishu_comment.py,plugins/platforms/feishu/feishu_comment.py
CHANNELS,2,production-code,feishu_comment_rules.py,plugins/platforms/feishu/feishu_comment_rules.py
CHANNELS,2,production-code,feishu_meeting_invite.py,plugins/platforms/feishu/feishu_meeting_invite.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/feishu/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/google_chat/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/google_chat/adapter.py
CHANNELS,2,production-code,oauth.py,plugins/platforms/google_chat/oauth.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/google_chat/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/homeassistant/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/homeassistant/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/homeassistant/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/irc/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/irc/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/irc/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/line/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/line/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/line/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/matrix/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/matrix/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/matrix/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/mattermost/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/mattermost/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/mattermost/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/ntfy/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/ntfy/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/ntfy/plugin.yaml
CHANNELS,2,prose,README.md,plugins/platforms/photon/README.md
CHANNELS,2,production-code,__init__.py,plugins/platforms/photon/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/photon/adapter.py
CHANNELS,2,production-code,auth.py,plugins/platforms/photon/auth.py
CHANNELS,2,production-code,cli.py,plugins/platforms/photon/cli.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/photon/plugin.yaml
CHANNELS,2,production-code,.gitignore,plugins/platforms/photon/sidecar/.gitignore
CHANNELS,2,prose,README.md,plugins/platforms/photon/sidecar/README.md
CHANNELS,2,production-code,index.mjs,plugins/platforms/photon/sidecar/index.mjs
CHANNELS,2,config,package-lock.json,plugins/platforms/photon/sidecar/package-lock.json
CHANNELS,2,config,package.json,plugins/platforms/photon/sidecar/package.json
CHANNELS,2,production-code,patch-spectrum-mixed-attachments.mjs,plugins/platforms/photon/sidecar/patch-spectrum-mixed-attachments.mjs
CHANNELS,2,production-code,send-format.mjs,plugins/platforms/photon/sidecar/send-format.mjs
CHANNELS,2,production-code,stream-staleness.mjs,plugins/platforms/photon/sidecar/stream-staleness.mjs
CHANNELS,2,production-code,sidecar_paths.py,plugins/platforms/photon/sidecar_paths.py
CHANNELS,2,production-code,__init__.py,plugins/platforms/raft/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/raft/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/raft/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/simplex/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/simplex/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/simplex/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/slack/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/slack/adapter.py
CHANNELS,2,production-code,block_kit.py,plugins/platforms/slack/block_kit.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/slack/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/sms/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/sms/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/sms/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/teams/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/teams/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/teams/plugin.yaml
CHANNELS,2,production-code,__init__.py,plugins/platforms/telegram/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/telegram/adapter.py
CHANNELS,2,production-code,inline_picker.py,plugins/platforms/telegram/inline_picker.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/telegram/plugin.yaml
CHANNELS,2,production-code,telegram_ids.py,plugins/platforms/telegram/telegram_ids.py
CHANNELS,2,production-code,telegram_network.py,plugins/platforms/telegram/telegram_network.py
CHANNELS,2,production-code,__init__.py,plugins/platforms/wecom/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/wecom/adapter.py
CHANNELS,2,production-code,callback_adapter.py,plugins/platforms/wecom/callback_adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/wecom/plugin.yaml
CHANNELS,2,production-code,wecom_crypto.py,plugins/platforms/wecom/wecom_crypto.py
CHANNELS,2,production-code,__init__.py,plugins/platforms/whatsapp/__init__.py
CHANNELS,2,production-code,adapter.py,plugins/platforms/whatsapp/adapter.py
CHANNELS,2,config,plugin.yaml,plugins/platforms/whatsapp/plugin.yaml
CHANNELS,2,production-code,discord_tool.py,tools/discord_tool.py
CHANNELS,2,production-code,feishu_doc_tool.py,tools/feishu_doc_tool.py
CHANNELS,2,production-code,feishu_drive_tool.py,tools/feishu_drive_tool.py
CHANNELS,2,production-code,homeassistant_tool.py,tools/homeassistant_tool.py
CHANNELS,2,production-code,yuanbao_tools.py,tools/yuanbao_tools.py
CLI-SHELL,2,production-code,cli.py,agent/lsp/cli.py
CLI-SHELL,2,production-code,cli.py,cli.py
CLI-SHELL,2,production-code,_parser.py,hermes_cli/_parser.py
CLI-SHELL,2,production-code,agent_import.py,hermes_cli/agent_import.py
CLI-SHELL,2,production-code,blueprint_cmd.py,hermes_cli/blueprint_cmd.py
CLI-SHELL,2,production-code,callbacks.py,hermes_cli/callbacks.py
CLI-SHELL,2,production-code,claw.py,hermes_cli/claw.py
CLI-SHELL,2,production-code,cli_agent_setup_mixin.py,hermes_cli/cli_agent_setup_mixin.py
CLI-SHELL,2,production-code,cli_billing_mixin.py,hermes_cli/cli_billing_mixin.py
CLI-SHELL,2,production-code,cli_commands_mixin.py,hermes_cli/cli_commands_mixin.py
CLI-SHELL,2,production-code,cli_output.py,hermes_cli/cli_output.py
CLI-SHELL,2,production-code,clipboard.py,hermes_cli/clipboard.py
CLI-SHELL,2,production-code,commands.py,hermes_cli/commands.py
CLI-SHELL,2,production-code,completion.py,hermes_cli/completion.py
CLI-SHELL,2,production-code,debug.py,hermes_cli/debug.py
CLI-SHELL,2,production-code,dump.py,hermes_cli/dump.py
CLI-SHELL,2,production-code,gateway.py,hermes_cli/gateway.py
CLI-SHELL,2,production-code,gateway_enroll.py,hermes_cli/gateway_enroll.py
CLI-SHELL,2,production-code,gateway_windows.py,hermes_cli/gateway_windows.py
CLI-SHELL,2,production-code,image_provenance.py,hermes_cli/image_provenance.py
CLI-SHELL,2,production-code,init_command.py,hermes_cli/init_command.py
CLI-SHELL,2,production-code,lifecycle.py,hermes_cli/lifecycle.py
CLI-SHELL,2,production-code,loops.py,hermes_cli/loops.py
CLI-SHELL,2,production-code,main.py,hermes_cli/main.py
CLI-SHELL,2,production-code,mem_trim.py,hermes_cli/mem_trim.py
CLI-SHELL,2,production-code,middleware.py,hermes_cli/middleware.py
CLI-SHELL,2,production-code,__init__.py,hermes_cli/observability/__init__.py
CLI-SHELL,2,production-code,platform_actions.py,hermes_cli/platform_actions.py
CLI-SHELL,2,production-code,platforms.py,hermes_cli/platforms.py
CLI-SHELL,2,production-code,profile_describer.py,hermes_cli/profile_describer.py
CLI-SHELL,2,production-code,projects_cmd.py,hermes_cli/projects_cmd.py
CLI-SHELL,2,production-code,projects_db.py,hermes_cli/projects_db.py
CLI-SHELL,2,production-code,__init__.py,hermes_cli/proxy/__init__.py
CLI-SHELL,2,production-code,__init__.py,hermes_cli/proxy/adapters/__init__.py
CLI-SHELL,2,production-code,base.py,hermes_cli/proxy/adapters/base.py
CLI-SHELL,2,production-code,cli.py,hermes_cli/proxy/cli.py
CLI-SHELL,2,production-code,server.py,hermes_cli/proxy/server.py
CLI-SHELL,2,production-code,sse_done.py,hermes_cli/proxy/sse_done.py
CLI-SHELL,2,production-code,proxy_cli.py,hermes_cli/proxy_cli.py
CLI-SHELL,2,production-code,psutil_android.py,hermes_cli/psutil_android.py
CLI-SHELL,2,production-code,pt_input_extras.py,hermes_cli/pt_input_extras.py
CLI-SHELL,2,production-code,pty_bridge.py,hermes_cli/pty_bridge.py
CLI-SHELL,2,production-code,pty_session.py,hermes_cli/pty_session.py
CLI-SHELL,2,production-code,relay_plugin_cutover.py,hermes_cli/relay_plugin_cutover.py
CLI-SHELL,2,production-code,route_identity.py,hermes_cli/route_identity.py
CLI-SHELL,2,production-code,runtime_provider.py,hermes_cli/runtime_provider.py
CLI-SHELL,2,production-code,send_cmd.py,hermes_cli/send_cmd.py
CLI-SHELL,2,production-code,sizefmt.py,hermes_cli/sizefmt.py
CLI-SHELL,2,production-code,stderr_timestamp.py,hermes_cli/stderr_timestamp.py
CLI-SHELL,2,production-code,stdio.py,hermes_cli/stdio.py
CLI-SHELL,2,production-code,__init__.py,hermes_cli/subcommands/__init__.py
CLI-SHELL,2,production-code,_shared.py,hermes_cli/subcommands/_shared.py
CLI-SHELL,2,production-code,claw.py,hermes_cli/subcommands/claw.py
CLI-SHELL,2,production-code,config.py,hermes_cli/subcommands/config.py
CLI-SHELL,2,production-code,debug.py,hermes_cli/subcommands/debug.py
CLI-SHELL,2,production-code,dump.py,hermes_cli/subcommands/dump.py
CLI-SHELL,2,production-code,gateway.py,hermes_cli/subcommands/gateway.py
CLI-SHELL,2,production-code,login.py,hermes_cli/subcommands/login.py
CLI-SHELL,2,production-code,logout.py,hermes_cli/subcommands/logout.py
CLI-SHELL,2,production-code,mcp.py,hermes_cli/subcommands/mcp.py
CLI-SHELL,2,production-code,model.py,hermes_cli/subcommands/model.py
CLI-SHELL,2,production-code,pause.py,hermes_cli/subcommands/pause.py
CLI-SHELL,2,production-code,profile.py,hermes_cli/subcommands/profile.py
CLI-SHELL,2,production-code,sync.py,hermes_cli/subcommands/sync.py
CLI-SHELL,2,production-code,tools.py,hermes_cli/subcommands/tools.py
CLI-SHELL,2,production-code,verify.py,hermes_cli/subcommands/verify.py
CLI-SHELL,2,production-code,suggestions_cmd.py,hermes_cli/suggestions_cmd.py
CLI-SHELL,2,production-code,timefmt.py,hermes_cli/timefmt.py
CLI-SHELL,2,production-code,verify_cmd.py,hermes_cli/verify_cmd.py
CLI-SHELL,2,production-code,web_git.py,hermes_cli/web_git.py
CLI-SHELL,2,production-code,web_models.py,hermes_cli/web_models.py
CLI-SHELL,2,production-code,__init__.py,hermes_cli/web_routers/__init__.py
CLI-SHELL,2,production-code,mcp.py,hermes_cli/web_routers/mcp.py
CLI-SHELL,2,production-code,profiles.py,hermes_cli/web_routers/profiles.py
CLI-SHELL,2,production-code,tools.py,hermes_cli/web_routers/tools.py
CLI-SHELL,2,production-code,win_pty_bridge.py,hermes_cli/win_pty_bridge.py
CLI-SHELL,2,production-code,windows_ssh_runtime.py,hermes_cli/windows_ssh_runtime.py
CLI-SHELL,2,production-code,worktree_cmd.py,hermes_cli/worktree_cmd.py
CLI-SHELL,2,prose,README.md,plugins/google_meet/README.md
CLI-SHELL,2,prose,SKILL.md,plugins/google_meet/SKILL.md
CLI-SHELL,2,production-code,__init__.py,plugins/google_meet/__init__.py
CLI-SHELL,2,production-code,cli.py,plugins/google_meet/cli.py
CLI-SHELL,2,production-code,__init__.py,plugins/google_meet/node/__init__.py
CLI-SHELL,2,production-code,cli.py,plugins/google_meet/node/cli.py
CLI-SHELL,2,production-code,client.py,plugins/google_meet/node/client.py
CLI-SHELL,2,production-code,protocol.py,plugins/google_meet/node/protocol.py
CLI-SHELL,2,production-code,server.py,plugins/google_meet/node/server.py
CLI-SHELL,2,production-code,__init__.py,plugins/teams_pipeline/__init__.py
CLI-SHELL,2,production-code,cli.py,plugins/teams_pipeline/cli.py
CLI-SHELL,2,production-code,store.py,plugins/teams_pipeline/store.py
CLIENT-SURFACE,2,production-code,__init__.py,acp_adapter/__init__.py
CLIENT-SURFACE,2,production-code,__main__.py,acp_adapter/__main__.py
CLIENT-SURFACE,2,production-code,auth.py,acp_adapter/auth.py
CLIENT-SURFACE,2,production-code,edit_approval.py,acp_adapter/edit_approval.py
CLIENT-SURFACE,2,production-code,entry.py,acp_adapter/entry.py
CLIENT-SURFACE,2,production-code,events.py,acp_adapter/events.py
CLIENT-SURFACE,2,production-code,permissions.py,acp_adapter/permissions.py
CLIENT-SURFACE,2,production-code,provenance.py,acp_adapter/provenance.py
CLIENT-SURFACE,2,production-code,server.py,acp_adapter/server.py
CLIENT-SURFACE,2,production-code,session.py,acp_adapter/session.py
CLIENT-SURFACE,2,production-code,tools.py,acp_adapter/tools.py
CLIENT-SURFACE,2,production-code,acp_openai_bridge.py,agent/acp_openai_bridge.py
CLIENT-SURFACE,2,prose,SCORECARD-2026-08-15.md,evals/compaction/results/SCORECARD-2026-08-15.md
CLIENT-SURFACE,2,config,acp.json,evals/compaction/results/codex-arm-2026-08-15/acp.json
CLIENT-SURFACE,2,config,gui.json,evals/compaction/results/codex-arm-2026-08-15/gui.json
CLIENT-SURFACE,2,config,prmerge.json,evals/compaction/results/codex-arm-2026-08-15/prmerge.json
CLIENT-SURFACE,2,config,sweep.json,evals/compaction/results/codex-arm-2026-08-15/sweep.json
CLIENT-SURFACE,2,production-code,console_engine.py,hermes_cli/console_engine.py
CLIENT-SURFACE,2,production-code,__init__.py,hermes_cli/dashboard_auth/__init__.py
CLIENT-SURFACE,2,production-code,audit.py,hermes_cli/dashboard_auth/audit.py
CLIENT-SURFACE,2,production-code,base.py,hermes_cli/dashboard_auth/base.py
CLIENT-SURFACE,2,production-code,cookies.py,hermes_cli/dashboard_auth/cookies.py
CLIENT-SURFACE,2,production-code,login_page.py,hermes_cli/dashboard_auth/login_page.py
CLIENT-SURFACE,2,production-code,middleware.py,hermes_cli/dashboard_auth/middleware.py
CLIENT-SURFACE,2,production-code,native_flow.py,hermes_cli/dashboard_auth/native_flow.py
CLIENT-SURFACE,2,production-code,prefix.py,hermes_cli/dashboard_auth/prefix.py
CLIENT-SURFACE,2,production-code,public_paths.py,hermes_cli/dashboard_auth/public_paths.py
CLIENT-SURFACE,2,production-code,registry.py,hermes_cli/dashboard_auth/registry.py
CLIENT-SURFACE,2,production-code,routes.py,hermes_cli/dashboard_auth/routes.py
CLIENT-SURFACE,2,production-code,token_auth.py,hermes_cli/dashboard_auth/token_auth.py
CLIENT-SURFACE,2,production-code,ws_tickets.py,hermes_cli/dashboard_auth/ws_tickets.py
CLIENT-SURFACE,2,production-code,dashboard_procs.py,hermes_cli/dashboard_procs.py
CLIENT-SURFACE,2,production-code,dashboard_register.py,hermes_cli/dashboard_register.py
CLIENT-SURFACE,2,production-code,gui_uninstall.py,hermes_cli/gui_uninstall.py
CLIENT-SURFACE,2,production-code,acp.py,hermes_cli/subcommands/acp.py
CLIENT-SURFACE,2,production-code,console.py,hermes_cli/subcommands/console.py
CLIENT-SURFACE,2,production-code,dashboard.py,hermes_cli/subcommands/dashboard.py
CLIENT-SURFACE,2,production-code,gui.py,hermes_cli/subcommands/gui.py
CLIENT-SURFACE,2,production-code,web_server.py,hermes_cli/web_server.py
CLIENT-SURFACE,2,production-code,__init__.py,plugins/dashboard_auth/basic/__init__.py
CLIENT-SURFACE,2,production-code,__init__.py,plugins/dashboard_auth/drain/__init__.py
CLIENT-SURFACE,2,production-code,__init__.py,plugins/dashboard_auth/self_hosted/__init__.py
CLIENT-SURFACE,2,production-code,annotate_preview_tool.py,tools/annotate_preview_tool.py
CLIENT-SURFACE,2,production-code,apply_layout_tool.py,tools/apply_layout_tool.py
CLIENT-SURFACE,2,production-code,close_preview_tool.py,tools/close_preview_tool.py
CLIENT-SURFACE,2,production-code,close_terminal_tool.py,tools/close_terminal_tool.py
CLIENT-SURFACE,2,production-code,desktop_ui.py,tools/desktop_ui.py
CLIENT-SURFACE,2,production-code,drive_preview_tool.py,tools/drive_preview_tool.py
CLIENT-SURFACE,2,production-code,focus_pane_tool.py,tools/focus_pane_tool.py
